date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,7.1,3.3,9.2,1.7,0,202,19.8,56.9,1007,174
2018-01-02 00:00:00,4.6,2.4,6.4,2,0,236,20.2,55.1,1012.1,54
2018-01-03 00:00:00,5.9,3.8,8.9,6.8,0,215,28.8,82.1,1000.6,48
2018-01-04 00:00:00,6.2,4.5,10.1,15.9,0,204,16.9,50,1001.1,0
2018-01-05 00:00:00,7.7,5.2,9.6,3.3,0,203,13,44.3,1002.8,0
2018-01-06 00:00:00,6.2,1.5,9.2,0,0,106,6.1,14.8,1009.5,72
2018-01-07 00:00:00,4.4,0.2,6.8,0,0,35,9,33.8,1020.6,0
2018-01-08 00:00:00,5.2,4,7.2,0,0,87,17.3,43.9,1023.9,90
2018-01-09 00:00:00,5,0.9,9,0,0,105,10.1,29.2,1015.3,84
2018-01-10 00:00:00,3.2,-1.6,9.4,0,0,113,8.3,22.3,1014.7,390
2018-01-11 00:00:00,3,0.3,4.6,0,0,90,6.1,22.7,1017.9,0
2018-01-12 00:00:00,3.4,-1,4.4,0,0,119,5,22.3,1026.3,0
2018-01-13 00:00:00,1.8,-2.3,4.2,0,0,65,10.4,34.6,1026.9,0
2018-01-14 00:00:00,0.3,-3.9,3.6,0,0,75,10.4,32.8,1024.6,90
2018-01-15 00:00:00,0.1,-5.7,4.6,2,0,128,17.6,48.2,1017.1,42
2018-01-16 00:00:00,5,2.3,7.3,8.1,0,223,22.7,64.8,998.4,12
2018-01-17 00:00:00,1.7,-0.1,2.8,3.8,0,256,22.7,63.7,1003.2,126
2018-01-18 00:00:00,4,0.6,9.7,9,10,235,23.8,95.8,1004.5,42
2018-01-19 00:00:00,2.1,0.2,4.4,1,10,233,12.6,48.2,1010.1,48
2018-01-20 00:00:00,1,-0.3,2.8,5.5,10,174,10.1,25.9,1008.2,0
2018-01-21 00:00:00,0.5,-2.5,1.8,1.8,10,303,13.7,45.7,1013.2,6
2018-01-22 00:00:00,0.6,-1.5,4.4,0.6,20,124,11.9,34.6,1013.6,0
2018-01-23 00:00:00,5.2,3.8,7.1,0.1,0,242,13,32.8,1025.1,18
2018-01-24 00:00:00,7.2,4.5,12.6,0,0,153,13,25.2,1023.5,258
2018-01-25 00:00:00,6.9,3.6,11.2,0,0,132,12.2,23.4,1017.6,0
2018-01-26 00:00:00,6.8,4.4,9.3,0,0,108,8.3,16.6,1018.7,18
2018-01-27 00:00:00,5.1,0.8,6.9,0,0,331,6.5,17.3,1031.5,0
2018-01-28 00:00:00,5.8,1.7,7.3,0,0,227,13.3,42.5,1034.5,0
2018-01-29 00:00:00,7.6,6.5,8.6,0,0,249,20.2,55.4,1030.1,0
2018-01-30 00:00:00,4.5,-1.2,8.6,0,0,272,14.4,49.3,1029.4,486
2018-01-31 00:00:00,5.9,0.4,9.3,2.6,0,167,14.8,38.2,1014.3,6
2018-02-01 00:00:00,3.1,1,5.9,1.1,0,228,11.5,31.3,1004.7,6
2018-02-02 00:00:00,1.9,-1.6,3.9,0.2,0,217,13,36.4,1007.8,108
2018-02-03 00:00:00,1.6,-0.7,3.9,0,0,250,9.4,30.2,1007.8,24
2018-02-04 00:00:00,-0.3,-3.4,3.6,0,0,89,6.1,19.8,1016.9,96
2018-02-05 00:00:00,-0.7,-3.9,2.7,0,0,65,11.2,35.3,1024.6,540
2018-02-06 00:00:00,-1.4,-4.6,3.1,0,0,88,11.5,31.3,1016.2,264
2018-02-07 00:00:00,-2.1,-5.8,1.2,0,0,28,7.2,27,1014.6,84
2018-02-08 00:00:00,-1.3,-3.1,0.2,0,0,333,4.3,14.8,1020.2,0
2018-02-09 00:00:00,-0.8,-4.8,1.5,0,0,135,6.8,25.9,1018.5,0
2018-02-10 00:00:00,0.6,-0.7,2.4,0,0,187,7.2,21.6,1018,0
2018-02-11 00:00:00,1.6,0.2,2.6,0.7,0,198,11.5,33.5,1009.8,0
2018-02-12 00:00:00,0.4,-2.5,3.1,0.5,0,255,9.7,40.7,1015,60
2018-02-13 00:00:00,-1.9,-6,2.7,0,10,121,8.6,22.3,1018.1,396
2018-02-14 00:00:00,-2.5,-7.9,4.1,0,0,97,5.4,18.4,1020.1,564
2018-02-15 00:00:00,-1.3,-7.1,1.9,4,0,129,15.8,38.2,1020.6,0
2018-02-16 00:00:00,1.1,-1.7,3.8,0,0,54,5.4,14,1026.6,48
2018-02-17 00:00:00,-0.3,-2.4,1.1,0.3,0,36,6.1,24.1,1024.1,0
2018-02-18 00:00:00,-0.1,-4.8,4.1,0,0,66,6.5,25.9,1028.2,282
2018-02-19 00:00:00,-1.6,-5.1,2.5,0,0,110,6.5,20.5,1021.9,234
2018-02-20 00:00:00,-2.4,-5.2,0.2,0,0,1,6.8,20.5,1018.5,0
2018-02-21 00:00:00,-1.6,-5.9,4,0,0,0,9.7,36.4,1021.7,558
2018-02-22 00:00:00,-1.3,-4.2,2.2,0,0,53,15.1,48.2,1020.6,570
2018-02-23 00:00:00,-1.8,-5.1,2.6,0,0,55,14.8,37.8,1020.1,588
2018-02-24 00:00:00,-2.8,-6.7,2.1,0,0,68,17.3,52.6,1024.2,600
2018-02-25 00:00:00,-6.1,-9.4,-1.9,0,0,58,14.8,40.7,1027.6,618
2018-02-26 00:00:00,-8.4,-11.8,-4.4,0,0,31,13.3,38.9,1025.4,480
2018-02-27 00:00:00,-9.6,-13.1,-4.7,0,0,30,9.7,45.7,1020.6,486
2018-02-28 00:00:00,-10,-14.7,-5.6,0,0,72,14,40,1021.6,576
2018-03-01 00:00:00,-6.3,-10.5,-0.7,0,0,90,20.5,49.3,1010.9,492
2018-03-02 00:00:00,-4.2,-9.8,0.7,2.2,0,81,12.2,33.5,1000.9,348
2018-03-03 00:00:00,-1.9,-4.7,2.5,0.4,40,92,10.4,22.7,1001,54
